SessionID,isLearner,Completed,Prime UserID,Discipline,Practice,Specialty,Discipline Group,Practice Group,Specialty Group,Cohort,Team,Geolocation,Company,How would you proceed?,Would you diagnose EoE?,Would you diagnose EoE?,What is the patient’s EREFS?,Which of the following statements is true regarding the role of TSLP in EoE?,Targeting the eosinophil by inhibiting IL-5 has been shown to improve both histologic and symptomatic outcomes in EoE clinical trials.,Inhibiting IL-13 has been shown to improve both histologic and symptomatic outcomes in a phase 3 clinical trial of EoE.,Targeting the mast cell has been shown to be effective in clinical trials of EoE.
vo8j0rl1rjds4bhqbbl1tqbi6h,,2026-05-02 20:42:46,426276,Physician,Medical Practice,Gastroenterology,MD/Resident/Fellow,Medical Practice / Community / Retail,Other,13LV258,Gorilla - Table 1,BR,Rede Dor,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,False,False
7iuve6q9m7bmudpqi0bfjrho9f,,,426284,Physician,Hospital,Pediatrics,MD/Resident/Fellow,Hospital,Other,13LV258,Fox - Table 11,US,Stanford hospital,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,False,,,,
q75a4nm52fk6b35in56hnra8oh,,,202421,Physician,None / Other,Gastroenterology,MD/Resident/Fellow,Other,Other,13LV258,Tiger - Table 2,US,,True,,,,,,,
hdia9s7h8hcbobq1nb76ph4thp,,,426304,Physician,Consultant,Gastroenterology,MD/Resident/Fellow,Other,Other,13LV258,Lemur - Table 6,US,St lukes,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,True,False,False,,
okqd5cm81gi7oh1gn09labalic,,,426316,Physician,Community / Retail,Gastroenterology,MD/Resident/Fellow,Medical Practice / Community / Retail,Other,13LV258,Fox - Table 11,US,MercyHealth,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,False,False,,
c5bumk8sji4jlr9vt59fa0cpea,,,426329,Physician,Research / Academia,Gastroenterology,MD/Resident/Fellow,Research / Academia,Other,13LV258,Lemur - Table 6,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,False,False,
p3f3tpj3jkd2veqsckls67vdro,,,426333,Physician,,Gastroenterology,MD/Resident/Fellow,Other,Other,13LV258,Lemur - Table 6,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,False,False,
a2fb9fu5i1kga7b431m1hbc606,,,426335,Pharmacist,Specialty Pharmacy / PBM,Family Medicine,Pharmacist,Employer / Health Plan / SpecPharm / BPM,Other,13LV258,Blue Whale - Table 5,US,NACE,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,,,,
6rdufg4ojh5v5t6mksqq9jkmmu,,,426338,,,,Other,Other,Other,13LV258,Flamingo - Table 9,BR,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,It is released after production of IL-4 and IL-13.,False,False,False,
i9orsicasjtp3545vv0ij2d0c6,,2026-05-02 20:42:55,426341,Physician,Medical Practice,Gastroenterology,MD/Resident/Fellow,Medical Practice / Community / Retail,Other,13LV258,Ram - Table 10,US,Hospital de Clínicas,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,False,True
3gulp2s3efukj3f9poo67bsjn3,,,426348,,,,Other,Other,Other,13LV258,Wolf - Table 17,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,True,True,True,,
id8ooj62kl1q2ejld4mkdfijfo,,,425276,,,,Other,Other,Other,13LV258,Bull - Table 7,US,,EGD with biopsy of esophagus stomach and duodenum,It is released after production of IL-4 and IL-13.,True,,,,,
oij0vdkotfk5cj427geeu002n2,,,426146,Resident,Hospital,Gastroenterology,MD/Resident/Fellow,Hospital,Other,13LV258,Ram - Table 10,US,Hospital de Clinicas,EGD with biopsy of esophagus and duodenum,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,,,
ufr1utehnrp4eh996hghua930s,,2026-05-02 20:42:45,426361,Nurse Practitioner,Community / Retail,Gastroenterology,NP/PA,Medical Practice / Community / Retail,Other,13LV258,Gorilla - Table 1,US,Horizon Gastroenterology,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,False,False
56idpqoe2u7p8cq3cf0om3887l,,,426362,Nurse Practitioner,Hospital,Gastroenterology,NP/PA,Hospital,Other,13LV258,Gorilla - Table 1,US,Horizon Gastroenterology Associates,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,False,False,,
uau9uovcirg4hkkfl8v8k8qth4,,,,,,,Other,Other,Other,13LV258,Tiger - Table 2,BR,,EGD with biopsy of esophagus and stomach,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,False,True,True,,
rgs36nil77qj42h57usumnvkjd,,,425291,Physician,Hospital,Pathology,MD/Resident/Fellow,Hospital,Other,13LV258,Penguin - Table 12,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,False,False,True,
in417k9r515j2slud6kpdnkv2e,,2026-05-02 20:42:46,425290,Fellow,Research / Academia,Gastroenterology,MD/Resident/Fellow,Research / Academia,Other,13LV258,Penguin - Table 12,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,False,False,True
8g1bae72igb92u174n58j91upg,,2026-05-02 20:42:48,426370,,,,Other,Other,Other,13LV258,Sea Turtle - Table 3,SE,,EGD,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,False,True
fej1uh928tp72cg9nonbgp65tr,,,,,,,Other,Other,Other,13LV258,Tiger - Table 2,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-5.,False,False,False,
qvdhh5ev6o4n867pfv0vu9rhcg,,2026-05-02 20:42:42,426367,,,,Other,Other,Other,13LV258,Lion - Table 4,CA,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,True,False
7id6sgdfdrhdvq0jrcue6po0uh,,2026-05-02 20:42:46,426366,Physician,Hospital,Gastroenterology,MD/Resident/Fellow,Hospital,Other,13LV258,Wolf - Table 17,US,The Brooklyn Hospital Center,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,True,False
upe9nqtbn9r50pb0jlaqc722l9,,,,,,,Other,Other,Other,13LV258,Lion - Table 4,US,,It is released after production of IL-5.,False,,,,,,
v6mt3t5a0e8cqamenoc4vsb5ib,,,,,,,Other,Other,Other,13LV258,Lemur - Table 6,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,True,,
ha70nihi28lcmtobdf8avet31a,,,426377,,,,Other,Other,Other,13LV258,Lemur - Table 6,US,,Yes based on eosinophil levels EGD images and symptoms,It is released upstream of the production of Th2 cytokines.,,,,,,
adu3mc30a984hkt11rr0tgmg16,,,426379,Physician,Hospital,Internal Medicine,MD/Resident/Fellow,Hospital,Internal Medicine,13LV258,Rhino - Table 15,US,Stony Brook,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,,,,,,
mvovb81amrfbd7n7qnmoqcj4e0,,,,,,,Other,Other,Other,13LV258,Ram - Table 10,US,,EGD with biopsy of esophagus and duodenum,Yes based on eosinophil levels EGD images and symptoms,,,,,,
bmid_a24f82ea5228,,,223740,Nurse Practitioner,Medical Practice,Hematology / Oncology,NP/PA,Medical Practice / Community / Retail,Other,13VS251,Virtual Team 1,US,,EGD with biopsy of esophagus stomach and duodenum,It is released after production of IL-5.,False,False,True,,,
sehv13rbt1v98tj2oh2os2uio6,,,426358,,,,Other,Other,Other,13LV258,Wolf - Table 17,US,,EGD with biopsy of esophagus stomach and duodenum,,,,,,,
